AdjustedWkt,Description
POINT (136.5 44.333333333333336),NAVAREA XIII 44/19   SEA OF JAPAN   CHART RUS 62005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION   FOR 12 HOURS FROM 2200 UTC 12 TO 24 MAY 43-53.0N 135-50.5E   44-20.0N 136-06.0E 44-20.0N 136-30.0E 43-53.0N 136-15.5E   2. CANCEL THIS MESSAGE 251100 UTC MAY 19
POINT (136.25833333333333 43.883333333333333),NAVAREA XIII 44/19   SEA OF JAPAN   CHART RUS 62005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION   FOR 12 HOURS FROM 2200 UTC 12 TO 24 MAY 43-53.0N 135-50.5E   44-20.0N 136-06.0E 44-20.0N 136-30.0E 43-53.0N 136-15.5E   2. CANCEL THIS MESSAGE 251100 UTC MAY 19
POINT (33.633333333333333 70),BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 0500 TO 1900 UTC DAILY 06 TO 08 MAY  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 70-00.0N 033-38.0E 70-00.0N 034-30.0E 69-40.0N 034-30.0E 69-40.0N 033-38.0E  2. CANCEL THIS MSG 082000 UTC MAY 19
POINT (34.5 70),BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 0500 TO 1900 UTC DAILY 06 TO 08 MAY  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 70-00.0N 033-38.0E 70-00.0N 034-30.0E 69-40.0N 034-30.0E 69-40.0N 033-38.0E  2. CANCEL THIS MSG 082000 UTC MAY 19
POINT (34.5 69.666666666666671),BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 0500 TO 1900 UTC DAILY 06 TO 08 MAY  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 70-00.0N 033-38.0E 70-00.0N 034-30.0E 69-40.0N 034-30.0E 69-40.0N 033-38.0E  2. CANCEL THIS MSG 082000 UTC MAY 19
POINT (33.633333333333333 69.666666666666671),BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 0500 TO 1900 UTC DAILY 06 TO 08 MAY  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 70-00.0N 033-38.0E 70-00.0N 034-30.0E 69-40.0N 034-30.0E 69-40.0N 033-38.0E  2. CANCEL THIS MSG 082000 UTC MAY 19
"POLYGON ((143.40444444444418 47.083333333333428, 155.75000000000014 47.083333333333428, 155.75000000000014 51.581944444444552, 143.40444444444418 51.581944444444552, 143.40444444444418 47.083333333333428))",NAVAREA XIII 47/19   SEA OF OKHOTSK   CHART RUS 61020   1. ENGINEERING RESEARCH BY VESSEL FYODOR KOVROV UNTIL 21 JUN   IN AREA BOUNDED BY 51-34-55N 143-24-16E 51-34-54N 144-06-13E   51-32-36N 144-06-11E 51-31-36N 144-43-29E 50-47-58N 144-53-07E   50-48-48N 143-40-02E COASTLINE   ONE MILE BERTH REQUESTED   2. CANCEL THIS MESSAGE 22 JUN 19      48/19   NAVAREA XIII 48   KURIL'SKIE OSTROVA   CHARTS RUS 62275 62276 60101   1. HYDROGRAPHICAL WORKS BY VESSEL VITSE ADMIRAL VORONTSOV   250700 UTC MAY TO 160400 UTC JUN 19 IN AREA BOUNDED BY   47-05N 153-00E 48-00N 153-00E 49-00N 154-01E 49-00N 155-45E   48-00N 155-45E 48-00N 155-20E 47-05N 155-20E   2. CANCEL THIS MESSAGE 160500 UTC JUN 19
"POLYGON ((144.37333333333334 52.651666666666664, 143.31888888888889 52.65, 143.14527777777778 52.195555555555551, 143.78833333333333 52.17861111111111, 143.77 52.015, 144.51333333333332 51.998333333333335, 144.37333333333334 52.651666666666664))",NAVAREA XIII 51/19   SEA OF OKHOTSK   CHART RUS 62175   1. ENGINEERING RESEARCH BY VESSEL GEOPHISIK 31 MAY TO 10 JUL   IN AREA BOUNDED BY 52-39-00N 143-19-08E 52-39-06N 144-22-24E   51-59-54N 144-30-48E 52-00-54N 143-46-12E   52-10-43N 143-47-18E 52-11-44N 143-08-43E COASTLINE   TWO MILE BERTH REQUESTED   2. CANCEL THIS MESSAGE 11 JUL 19
"POLYGON ((144.37333333333334 52.651666666666664, 143.31888888888889 52.65, 143.14527777777778 52.195555555555551, 143.78833333333333 52.17861111111111, 143.77 52.015, 144.51333333333332 51.998333333333335, 144.37333333333334 52.651666666666664))",NAVAREA XIII 51/19   SEA OF OKHOTSK   CHART RUS 62175   1. ENGINEERING RESEARCH BY VESSEL GEOPHISIK 31 MAY TO 10 JUL   IN AREA BOUNDED BY 52-39-00N 143-19-08E 52-39-06N 144-22-24E   51-59-54N 144-30-48E 52-00-54N 143-46-12E   52-10-43N 143-47-18E 52-11-44N 143-08-43E COASTLINE   TWO MILE BERTH REQUESTED   2. CANCEL THIS MESSAGE 11 JUL 19
"POLYGON ((144.37333333333334 52.651666666666664, 143.31888888888889 52.65, 143.14527777777778 52.195555555555551, 143.78833333333333 52.17861111111111, 143.77 52.015, 144.51333333333332 51.998333333333335, 144.37333333333334 52.651666666666664))",NAVAREA XIII 54/19   SEA OF OKHOTSK   CHART RUS 62175   1. SEISMIC SURVEY BY VESSELS NIKOLAY TRUBYATCHINSKIY AND   ALLIANZ SILVER 04 JUN TO 15 NOV IN AREA BOUNDED BY   52-39-00N 143-19-08E 52-39-06N 144-22-24E 51-59-54N 144-30-48E   52-00-54N 143-46-12E 52-10-43N 143-47-18E 52-11-44N 143-08-43E COASTLINE   TWO MILE BERTH REQUESTED   2. CANCEL THIS MESSAGE 16 NOV 19
"POLYGON ((144.37333333333334 52.651666666666664, 143.31888888888889 52.65, 143.14527777777778 52.195555555555551, 143.78833333333333 52.17861111111111, 143.77 52.015, 144.51333333333332 51.998333333333335, 144.37333333333334 52.651666666666664))",NAVAREA XIII 54/19   SEA OF OKHOTSK   CHART RUS 62175   1. SEISMIC SURVEY BY VESSELS NIKOLAY TRUBYATCHINSKIY AND   ALLIANZ SILVER 04 JUN TO 15 NOV IN AREA BOUNDED BY   52-39-00N 143-19-08E 52-39-06N 144-22-24E 51-59-54N 144-30-48E   52-00-54N 143-46-12E 52-10-43N 143-47-18E 52-11-44N 143-08-43E COASTLINE   TWO MILE BERTH REQUESTED   2. CANCEL THIS MESSAGE 16 NOV 19
"POLYGON ((34 70, 34 69.75, 42 69.75, 42 71.5, 38 71.5, 34 70))",BARENTS SEA  CHART RUS 10100  1. ROCKET LAUNCHING 0500 TO 1700 UTC 23 TO 24 AND 27 MAY  IN AREA DANGEROUS TO NAVIGATION BOUNDED BY 71-30.0N 038-00.0E  71-30.0N 042-00.0E 69-45.0N 042-00.0E 69-45.0N 034-00.0E 70-00.0N 034-00.0E  2. CANCEL THIS MESSAGE 271800 MAY 19
"POLYGON ((34 70, 34 69.75, 42 69.75, 42 71.5, 38 71.5, 34 70))",BARENTS SEA  CHART RUS 10100  1. ROCKET LAUNCHING 0500 TO 1700 UTC 23 TO 24 AND 27 MAY  IN AREA DANGEROUS TO NAVIGATION BOUNDED BY 71-30.0N 038-00.0E  71-30.0N 042-00.0E 69-45.0N 042-00.0E 69-45.0N 034-00.0E 70-00.0N 034-00.0E  2. CANCEL THIS MESSAGE 271800 MAY 19
"POLYGON ((33.25 69.916666666666671, 33.25 69.408333333333331, 33.483333333333334 69.36666666666666, 33.56666666666667 69.3, 34.416666666666664 69.291666666666671, 35 69.5, 35 69.916666666666671, 33.25 69.916666666666671))",BARENTS SEA  CHART RUS 10100  1. MISSILE AN D ARTILLERY FIRING 0500 TO 1400 UTC  DAILY 29 TO 30 MAY NAVIGATION PROHIBITED IN TERRITORIAL  WATERS DANGEROUS OUTSIDE IN AREA BOUNDED BY  69-55.0N 033-15.0E 69-55.0N 035-00.0E 69-30.0N 035-00.0E  69-17.5N 034-25.0E THEN COASTAL LINE T0 69-18.0N 033-34.0E  69-22.0N 033-29.0E THEN COASTAL LINE T0 69-24.5N 033-15.0E  2. CANCEL THIS MSG 301500 UTC MAY 19
"POLYGON ((33.25 69.916666666666671, 33.25 69.408333333333331, 33.483333333333334 69.36666666666666, 33.56666666666667 69.3, 34.416666666666664 69.291666666666671, 35 69.5, 35 69.916666666666671, 33.25 69.916666666666671))",BARENTS SEA  CHART RUS 10100  1. MISSILE AN D ARTILLERY FIRING 0500 TO 1400 UTC  DAILY 29 TO 30 MAY NAVIGATION PROHIBITED IN TERRITORIAL  WATERS DANGEROUS OUTSIDE IN AREA BOUNDED BY  69-55.0N 033-15.0E 69-55.0N 035-00.0E 69-30.0N 035-00.0E  69-17.5N 034-25.0E THEN COASTAL LINE T0 69-18.0N 033-34.0E  69-22.0N 033-29.0E THEN COASTAL LINE T0 69-24.5N 033-15.0E  2. CANCEL THIS MSG 301500 UTC MAY 19
"POLYGON ((143.27583333333351 52.000555555555685, 144.86972222222209 52.000555555555685, 144.86972222222209 53.500000000000135, 143.27583333333351 53.500000000000135, 143.27583333333351 52.000555555555685))","NAVAREA XIII 55/19   SEA OF OKHOTSK   CHART RUS 61020   1. SEISMIC SURVEY BY VESSELS ""POLARCUS ASIMA"" AND ""POLARCUS ALIMA""   TOWING CABLE 4050 METRE LONG IN AREAS BOUNDED BY   A. TO 12 JUN 52-00-02N 144-23-22E 53-30-00N 144-00-00E   53-30-00N 144-30-00E 52-00-03N 144-52-11E   B. 07 JUN TO 15 JUL 53-00-00N 143-23-42E 53-14-05N 143-16-33E   53-15-36N 143-25-52E 53-00-00N 143-34-00E FOUR VESSELS FOLLOW THE   VESSELS ""POLARCUS ASIMA"" AND ""POLARCUS ALIMA"" CAUTION ADVISED   4 MILE BERTH REQUESTED WHEN PASSING ASTERN AND 2 MILE   ON BOTH SIDE OF VESSELS   2. CANCEL THIS MESSAGE 16 JUL 19   3. CANCEL XIII 50/19 AND THIS PARA"
"POLYGON ((143.27583333333351 52.000555555555685, 144.86972222222209 52.000555555555685, 144.86972222222209 53.500000000000135, 143.27583333333351 53.500000000000135, 143.27583333333351 52.000555555555685))","NAVAREA XIII 55/19   SEA OF OKHOTSK   CHART RUS 61020   1. SEISMIC SURVEY BY VESSELS ""POLARCUS ASIMA"" AND ""POLARCUS ALIMA""   TOWING CABLE 4050 METRE LONG IN AREAS BOUNDED BY   A. TO 12 JUN 52-00-02N 144-23-22E 53-30-00N 144-00-00E   53-30-00N 144-30-00E 52-00-03N 144-52-11E   B. 07 JUN TO 15 JUL 53-00-00N 143-23-42E 53-14-05N 143-16-33E   53-15-36N 143-25-52E 53-00-00N 143-34-00E FOUR VESSELS FOLLOW THE   VESSELS ""POLARCUS ASIMA"" AND ""POLARCUS ALIMA"" CAUTION ADVISED   4 MILE BERTH REQUESTED WHEN PASSING ASTERN AND 2 MILE   ON BOTH SIDE OF VESSELS   2. CANCEL THIS MESSAGE 16 JUL 19   3. CANCEL XIII 50/19 AND THIS PARA"
"POLYGON ((143.27583333333334 50.7419444444445, 145.18027777777789 50.7419444444445, 145.18027777777789 53.259999999999884, 143.27583333333334 53.259999999999884, 143.27583333333334 50.7419444444445))",NAVAREA XIII 56/19   SEA OF OKHOTSK   CHART RUS 61020   1. SEISMIC SURVEY BY VESSELS POLARCUS ASIMA AND POLARCUS ALIMA   TOWING CABLE 4050 METRE LONG IN AREAS BOUNDED BY   A. UNTIL 12 JUN   50-44-31N 144-40-08E 52-16-18N 144-19-52E   52-15-39N 144-48-40E 50-44-36N 145-10-49E   B. 07 JUN TO 15 JUL   53-00-00N 143-23-42E 53-14-05N 143-16-33E   53-15-36N 143-25-52E 53-00-00N 143-34-00E   FOUR VESSELS FOLLOW THE VESSELS POLARCUS ASIMA AND POLARCUS ALIMA   FOUR MILE ASTERN AND TWO MILE ABEAM OF VESSELS BERTH REQUESTED   2. CANCEL THIS MESSAGE 16 JUL 19   3. CANCEL XIII 55/19 AND THIS PARA
"POLYGON ((45.5 75, 45.5 71.833333333333329, 46.5 71.833333333333329, 46.5 75, 45.5 75))",BARENTS SEA  CHART RUS 10100  1. NAVIGATIONAL AND HYDROGRAPHIC OPERATIONS 032100 TO 082100 UTC JUN  IN AREA DANGEROUS TO NAVIGATION BOUNDED BY 75-00N 045-30E 75-00N 046-30E  71-50N 046-30E 71-50N 045-30E  2. CANCEL THIS MSG 082200 UTC JUN 19
"POLYGON ((45.5 75, 45.5 71.833333333333329, 46.5 71.833333333333329, 46.5 75, 45.5 75))",BARENTS SEA  CHART RUS 10100  1. NAVIGATIONAL AND HYDROGRAPHIC OPERATION S 082100 TO 092100 UTC J UN  IN AREA DANGEROUS TO NAVIGATION BOUNDED BY 75-00N 045-30E 75-00N 046-30E  71-50N 046-30E 71-50N 045-30E  2. CANCEL THIS MSG 092200 UTC JUN 19
POINT (144.31166666666667 51.365),NAVAREA XIII 62/19   SEA OF OKHOTSK   CHART RUS 62175   1. DRILLING RIG POLYARNAYA ZVEZDA IN 51-21.9N 144-18.7E UNTIL 04 OCT   2000 METRE BERTH REQUESTED   2. CANCEL THIS MESSAGE 05 OCT 19
POINT (134.23333333333332 42.81666666666667),NAVAREA XIII 63/19   SEA OF JAPAN   CHART RUS 63005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION 210000 TO 242400 UTC JUN   42-49.0N 134-14.0E 42-57.0N 134-14.0E 43-04.0N 134-27.6E   43-04.0N 134-42.2E 42-49.0N 134-42.2E   2. CANCEL THIS MESSAGE 250100 UTC JUN 19
POINT (134.23333333333332 42.95),NAVAREA XIII 63/19   SEA OF JAPAN   CHART RUS 63005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION 210000 TO 242400 UTC JUN   42-49.0N 134-14.0E 42-57.0N 134-14.0E 43-04.0N 134-27.6E   43-04.0N 134-42.2E 42-49.0N 134-42.2E   2. CANCEL THIS MESSAGE 250100 UTC JUN 19
POINT (134.46 43.06666666666667),NAVAREA XIII 63/19   SEA OF JAPAN   CHART RUS 63005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION 210000 TO 242400 UTC JUN   42-49.0N 134-14.0E 42-57.0N 134-14.0E 43-04.0N 134-27.6E   43-04.0N 134-42.2E 42-49.0N 134-42.2E   2. CANCEL THIS MESSAGE 250100 UTC JUN 19
POINT (134.70333333333335 43.06666666666667),NAVAREA XIII 63/19   SEA OF JAPAN   CHART RUS 63005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION 210000 TO 242400 UTC JUN   42-49.0N 134-14.0E 42-57.0N 134-14.0E 43-04.0N 134-27.6E   43-04.0N 134-42.2E 42-49.0N 134-42.2E   2. CANCEL THIS MESSAGE 250100 UTC JUN 19
POINT (134.70333333333335 42.81666666666667),NAVAREA XIII 63/19   SEA OF JAPAN   CHART RUS 63005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION 210000 TO 242400 UTC JUN   42-49.0N 134-14.0E 42-57.0N 134-14.0E 43-04.0N 134-27.6E   43-04.0N 134-42.2E 42-49.0N 134-42.2E   2. CANCEL THIS MESSAGE 250100 UTC JUN 19
"POLYGON ((156.33333333333334 58.2, 155 58.5, 154.33333333333334 57.8, 153.95 56.1, 154.58333333333334 54.81666666666667, 155.61666666666667 54.716666666666669, 156 56.7, 155.4 56.7, 155.5 57, 156.33333333333334 58.2))",NAVAREA XIII 64/19   SEA OF OKHOTSK   CHART RUS 60118   1. ENGINEERING RESEARCH BY VESSEL FYODOR KOVROV 22 JUN TO 03 JUL   IN AREA BOUNDED BY 54-49N 154-35E 56-06N 153-57E 57-48N 154-20E   58-30N 155-00E 58-12N 156-20E 57-00N 155-30E   56-42N 155-24E 56-42N 156-00E 54-43N 155-37E   ONE MILE BERTH REQUESTED   2. CANCEL THIS MESSAGE 04 JUL 19
POINT (143.89213888888889 52.156861111111112),NAVAREA XIII 65/19   SEA OF OKHOTSK   CHART RUS 62175   1. DRILLING RIG NH10 IN 52-09-24.7N 143-53-31.7E UNTIL 25 OCT   500 METRE BERTH REQUESTED   2. CANCEL THIS MESSAGE 26 OCT 19
"LINESTRING (141.88333333333333 45.833333333333336, 142.4 45.883333333333333)",NAVAREA XIII 68/19   PROLIV LAPERUZA   CHART RUS 63100   1. HYDROGRAPHICAL WORKS BY VESSEL ANTARCTIDA 27 JUN TO 03 JUL   ALONG LINE JOINING 45-50N 141-53E 45-53N 142-24E   0.5 MILE BERTH REQUESTED   2. CANCEL THIS MESSAGE 04 JUL 19                      70/19   NAVAREA XIII 70   SEA OF OKHOTSK   CHART RUS 62176   1. BUOY STATIONS ESTABLISHED UNTIL 30 JUL AT DEPTHS OF   A. 115 METRES IN 53-46.4N 143-46.3E   B. 110 METRES IN 53-49.4N 143-32.4E   C. 55 METRES IN 53-41.2N 143-18.4E   D. 16 METRES IN 53-32.7N 143-05.8E   2. METEOROLOGICAL BUOY UNTIL 30 JUL IN 53-53.1N 143-37.9E   3. CANCEL THIS MESSAGE 31 JUL 19
"POLYGON ((144.72472222222223 51.526666666666664, 144.10305555555556 51.543333333333329, 144.10361111111109 51.581666666666671, 143.40444444444444 51.581944444444446, 143.66722222222222 50.813333333333333, 144.88527777777776 50.79944444444444, 144.72472222222223 51.526666666666664))",NAVAREA XIII 71/19   SEA OF OKHOTSK   CHART RUS 61020   1. ENGINEERING RESEARCH BY VESSEL FYODOR KOVROV 29 JUN TO 25 JUL   IN AREA BOUNDED BY 51-34-55N 143-24-16E 51-34-54N 144-06-13E   51-32-36N 144-06-11E 51-31-36N 144-43-29E 50-47-58N 144-53-07E 50-48-48N 143-40-02E COASTLINE   ONE MILE BERTH REQUESTED   2. CANCEL THIS MESSAGE 26 JUL 19
"POLYGON ((143.88333333333333 52.385, 143.69666666666666 52.65, 143.58666666666667 52.65, 143.57166666666666 52.483333333333334, 143.55 52.483333333333334, 143.55 52.366666666666667, 143.64499999999998 52.365, 143.635 52.273333333333333, 143.87166666666667 52.271666666666668, 143.88333333333333 52.385))",NAVAREA XIII 72/19   SEA OF OKHOTSK   CHART RUS 62175   1. SEISMIC SURVEY BY VESSELS POLARCUS ASIMA AND POLARCUS ALIMA   TOWING CABLE 4050 METRES LONG 02 JUL TO 25 SEP IN AREA BOUNDED BY   52-16-24N 143-38-06E 52-21-54N 143-38-42E 52-22-00N 143-33-00E   52-29-00N 143-33-00E 52-29-00N 143-34-18E 52-39-00N 143-35-12E   52-39-00N 143-41-48E 52-23-06N 143-53-00E 52-16-18N 143-52-18E   FOUR VESSELS FOLLOW THE RESEARCH VESSELS CAUTION ADVISED   FOUR MILE ASTERN AND TWO MILE ABEAM OF VESSELS BERTH REQUESTED   2. CANCEL THIS MESSAGE 26 SEP 19
POINT (144.315 51.30833333333333),NAVAREA XIII 74/19   SEA OF OKHOTSK   CHART RUS 62174   1. DRILLING RIG SEVERNOYE SIYANIYE IN 51-18.5N 144-18.9E UNTIL 03 OCT   2000 METRE BERTH REQUESTED   2. CANCEL THIS MESSAGE 04 OCT 19
"POLYGON ((134.03333333333333 42.166666666666664, 132.93333333333334 42.56666666666667, 132.7 42.766666666666666, 132.35 42.7, 131.78333333333333 42.833333333333336, 131.01666666666668 42.35, 132.16666666666666 42.05, 133.25 41.283333333333331, 133.65 41.55, 134.01666666666668 42.033333333333331, 134.03333333333333 42.166666666666664))",NAVAREA XIII 75/19   SEA OF JAPAN   CHART RUS 61001   1. MISSILE AND GUNNERY EXERCISES FOR 12 HOURS FROM 2200 UTC   03 TO 19 JUL IN AREA BOUNDED BY 42-21N 131-01E 42-50N 131-47E   42-42N 132-21E 42-46N 132-42E 42-34N 132-56E 42-10N 134-02E   42-02N 134-01E 41-33N 133-39E 41-17N 133-15E 42-03N 132-10E   2. CANCEL THIS MESSAGE 201100 UTC JUL 19
POINT (159.28333333333333 52.333333333333336),NAVAREA XIII 76/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 03 TO 05 07 TO 09 JUL IN AREA   52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 101000 UTC JUL 19
POINT (159.28333333333333 52.75),NAVAREA XIII 76/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 03 TO 05 07 TO 09 JUL IN AREA   52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 101000 UTC JUL 19
POINT (160.21666666666667 52.75),NAVAREA XIII 76/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 03 TO 05 07 TO 09 JUL IN AREA   52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 101000 UTC JUL 19
POINT (160.21666666666667 52.333333333333336),NAVAREA XIII 76/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 03 TO 05 07 TO 09 JUL IN AREA   52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 101000 UTC JUL 19
"POLYGON ((132.5 42.25, 131.68333333333334 42.25, 131.68333333333334 41.238333333333337, 132.5 41.238333333333337, 132.5 42.25))",NAVAREA XIII 77/19   SEA OF JAPAN   CHART RUS 61001   1. MISSILE AND GUNNERY EXERCISES FOR 12 HOURS FROM 2200 UTC   04 TO 11 JUL IN AREA BOUNDED BY 41-14-18N 131-41-00E   42-15-00N 131-41-00E 42-15-00N 132-30-00E 41-14-18N 132-30-00E   2. CANCEL THIS MESSAGE 121100 UTC JUL 19
POINT (159.28333333333333 52.333333333333336),NAVAREA XIII 79/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES FOR 13 HOURS FROM 2000 UTC 10 TO 12 14 TO 16 JUL   IN AREA 52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 171000 UTC JUL 19
POINT (159.28333333333333 52.75),NAVAREA XIII 79/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES FOR 13 HOURS FROM 2000 UTC 10 TO 12 14 TO 16 JUL   IN AREA 52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 171000 UTC JUL 19
POINT (160.21666666666667 52.75),NAVAREA XIII 79/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES FOR 13 HOURS FROM 2000 UTC 10 TO 12 14 TO 16 JUL   IN AREA 52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 171000 UTC JUL 19
POINT (160.21666666666667 52.333333333333336),NAVAREA XIII 79/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES FOR 13 HOURS FROM 2000 UTC 10 TO 12 14 TO 16 JUL   IN AREA 52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 171000 UTC JUL 19
"POLYGON ((155.75 49, 154.01666666666668 49, 153 48, 153 47.083333333333336, 155.33333333333334 47.083333333333336, 155.33333333333334 48, 155.75 48, 155.75 49))",NAVAREA XIII 80/19   KURIL'SKIYE OSTROVA   CHART RUS 61030   1. HYDROGRAPHICAL WORKS BY VESSELS ANTARCTIDA AND PEGAS UNTIL 29 JUL   IN AREA BOUNDED BY 47-05N 153-00E 48-00N 153-00E 49-00N 154-01E   49-00N 155-45E 48-00N 155-45E 48-00N 155-20E 47-05N 155-20E   CAUTION ADVISED   2. CANCEL THIS MESSAGE 30 JUL 19
